link_index,pokemon1_name,pokemon2_name,pokemon1_move,pokemon2_move,pokemon1_move_weight,pokemon2_move_weight,edge_weight,pokemon1_move_TTK,pokemon2_move_TTK,edge_TTK
0,bulbasaur,squirtle,giga-drain,ice-spinner,1.277292576419214,0.5887445887445888,0.6885479876746252,1,2.0,1
1,bulbasaur,wartortle,giga-drain,ice-spinner,0.9555984555984556,0.7186147186147186,0.23698373698373698,2,2.0,0
2,bulbasaur,caterpie,sludge-bomb,bug-bite,1.0822510822510822,0.24675324675324675,0.8354978354978355,1,5.0,4
3,bulbasaur,metapod,sludge-bomb,bug-bite,0.9128630705394191,0.19480519480519481,0.7180578757342242,2,6.0,4
4,bulbasaur,weedle,tera-blast,bug-bite,0.669683257918552,0.26406926406926406,0.4056139938492879,2,4.0,2
5,bulbasaur,kakuna,tera-blast,bug-bite,0.5670995670995671,0.22077922077922077,0.34632034632034636,2,5.0,3
6,bulbasaur,rattata,giga-drain,last-resort,1.1194029850746268,0.8484848484848485,0.27091813658977826,1,2.0,1
7,bulbasaur,pikachu,giga-drain,return,0.8317535545023697,0.41125541125541126,0.4204981432469584,2,3.0,1
8,bulbasaur,sandshrew,giga-drain,earthquake,2.0539419087136928,0.7662337662337663,1.2877081424799264,1,2.0,1
9,bulbasaur,sandslash,giga-drain,earthquake,1.1288659793814433,0.9653679653679653,0.16349801401347797,1,2.0,1
10,bulbasaur,clefairy,sludge-bomb,flamethrower,0.8220640569395018,0.6320346320346321,0.19002942490486974,2,2.0,0
11,bulbasaur,jigglypuff,sludge-bomb,last-resort,1.1886792452830188,0.7272727272727273,0.46140651801029153,1,2.0,1
12,bulbasaur,paras,sludge-bomb,leech-life,1.2369668246445498,0.8766233766233766,0.36034344802117313,1,2.0,1
13,bulbasaur,diglett,giga-drain,earthquake,2.375776397515528,0.6017316017316018,1.7740447957839263,1,2.0,1
14,bulbasaur,dugtrio,giga-drain,earthquake,1.3009478672985781,0.9653679653679653,0.3355799019306128,1,2.0,1
15,bulbasaur,meowth,giga-drain,last-resort,0.9366515837104072,0.7272727272727273,0.20937885643767995,2,2.0,0
16,bulbasaur,psyduck,giga-drain,synchronoise,1.4564315352697095,0.8831168831168831,0.5733146521528264,1,2.0,1
17,bulbasaur,mankey,giga-drain,fire-punch,0.8619909502262444,0.8138528138528138,0.04813813637343056,2,2.0,0
18,bulbasaur,poliwag,giga-drain,ice-beam,1.8733031674208145,0.4675324675324675,1.405770699888347,1,3.0,2
19,bulbasaur,poliwhirl,giga-drain,ice-punch,1.2952029520295203,0.6926406926406926,0.6025622593888277,1,2.0,1
20,bulbasaur,bellsprout,sludge-bomb,leech-life,0.8215767634854771,0.6168831168831169,0.20469364660236022,2,2.0,0
21,bulbasaur,tentacool,power-whip,ice-beam,0.6113122171945701,0.5454545454545454,0.06585767174002466,2,2.0,0
22,bulbasaur,geodude,giga-drain,fire-punch,4.479638009049774,0.8138528138528138,3.66578519519696,1,2.0,1
23,bulbasaur,graveler,giga-drain,fire-punch,3.047808764940239,0.935064935064935,2.112743829875304,1,2.0,1
24,bulbasaur,golem,grass-knot,fire-punch,2.0332225913621262,1.1341991341991342,0.899023457162992,1,1.0,0
25,bulbasaur,slowpoke,giga-drain,zen-headbutt,1.2897196261682242,0.8831168831168831,0.40660274305134114,1,2.0,1
